hhid,rgid,villid,hhLocX,hhLocY,hhElev,hhLandOwn,hhLandPlant,areaCcfp,ifCcfp,ifCcfpO
1917,120,2,374778.7433,3455262.283,761,1.011722,1.011722,0,0,0
1918,120,2,374778.6095,3455223.667,761,3.437923,1.613087,0,0,0
1919,120,2,374846.7666,3455248.84,759,0.767141,0.767141,0,0,0
1920,120,2,374794.2183,3455192.886,753,1.862588,0,0,0,0
1921,120,2,374854.081,3455255.492,756,0,0,0,0,0
1922,120,2,374964.7812,3454973.924,768,2.056551,2.056551,0.748982487,1,1
1925,120,2,375004.5904,3454973.293,766,2.650711,2.650711,0,0,0
1926,120,2,374921.5686,3454809.987,781,0.354073,0.354073,1.070174875,1,1
1927,116,2,375108.4986,3455232.068,747,2.646419,1.106198,0,0,0
1928,116,2,375180.6101,3455356.7,778,0.836285,0.836285,0,0,0
1929,116,2,375079.9817,3455336.274,775,7.020602,5.340789,0,0,0
1930,116,2,375518.4195,3455636.813,813,1.048961,1.048961,0,0,0
1931,116,2,375184.9696,3455321.129,780,5.131115,1.020874,0,0,0
1932,116,2,375106.1358,3455322.674,780,2.169986,2.169986,0,0,0
1934,116,2,375274.3587,3455338.151,781,1.317463,1.317463,0,0,0
1935,116,2,375237.5517,3455354.385,781,3.760898,3.760898,0,0,0
1936,116,2,375351.5542,3455354.342,799,1.312963,1.312963,0,0,0
1937,116,2,375573.7009,3455562.351,816,3.330343,3.330343,8.03081029,1,1
1938,116,2,375453.4534,3455605.648,805,1.439525,1.439525,0,0,0
1939,116,2,375448.2116,3455402.169,819,7.176994,0,0,0,0
1940,116,2,374967.7362,3455653.601,772,6.168078,6.168078,1.63886996,1,1
1941,116,2,375388.6549,3455590.711,803,1.874692,0.750817,0,0,0
1942,116,2,375027.4665,3455530.278,759,0.548218,0,0,0,0
1943,116,2,375051.2889,3456180.307,864,2.722011,0,0,0,0
1944,116,2,374822.3653,3455580.939,771,3.245656,0,0,0,0
1945,116,2,374987.2811,3455667.462,765,3.789285,0,2.983269523,1,1
1946,116,2,375055.1473,3455553.565,765,8.064974,5.894411,0,0,0
1947,116,2,375021.9241,3455547.988,761,1.356523,1.356523,0,0,0
1948,116,2,375024.7065,3455599.367,763,3.196354,1.911194,0,0,0
1949,116,2,374809.125,3455667.09,774,1.028701,1.028701,0,0,0
1950,116,2,374857.2975,3455673.397,771,2.802344,2.802344,0,0,0
1951,116,2,375380.2193,3455655.278,801,2.044579,2.044579,0,0,0
1952,116,2,375013.5238,3455174.768,744,7.852187,7.852187,0,0,0
1953,116,2,375194.1043,3455271.5,785,4.254393,4.254393,0,0,0
1955,116,2,374988.5086,3455666.199,772,3.204492,0,3.121418233,1,1
1956,121,2,374322.3653,3455558.494,794,0.925312,0.925312,0,0,0
1957,121,2,374302.2125,3455601.549,800,4.868735,4.868735,0,0,0
1958,121,2,374210.8363,3455605.23,800,16.892064,16.892064,0,0,0
1959,121,2,374224.7326,3455582.644,801,3.492626,3.492626,0,0,0
1960,121,2,373701.5503,3455752.623,858,1.091783,1.091783,0,0,0
1961,121,2,374230.6275,3455534.239,797,11.339741,6.422202,0,0,0
1963,121,2,373652.2105,3455831.432,858,15.28633,6.836522,0,0,0
1964,121,2,374111.105,3455615.228,808,0.63696,0,0,0,0
1965,121,2,374081.5613,3455508.998,804,4.180677,4.180677,0,0,0
1966,121,2,374076.0476,3455531.121,804,4.398179,4.398179,0,0,0
1967,121,2,374046.9767,3455445.394,823,4.329798,4.329798,0,0,0
1968,121,2,373981.7307,3455413.304,823,2.973488,2.973488,0,0,0
1969,121,2,374004.2796,3455289.825,829,1.853356,1.853356,0,0,0
1970,121,2,374031.4015,3455283.28,829,0.765224,0.765224,0,0,0
1972,121,2,374416.9173,3455427.349,792,3.666727,3.666727,0,0,0
1973,121,2,374270.0572,3455453.155,784,2.439635,2.439635,0,0,0
1974,121,2,374494.6148,3455408.752,792,1.207599,0.654899,0,0,0
1975,121,2,374005.2245,3455387.373,823,2.449332,2.449332,0,0,0
1976,121,2,374002.5237,3455463.917,823,0.624488,0.624488,0,0,0
1977,121,2,373961.9959,3455392.717,823,2.160325,0,0,0,0
1978,121,2,374339.4327,3455559.266,797,5.535233,3.705276,0,0,0
1979,121,2,373623.7504,3455477.931,858,3.254335,0.270288,0,0,0
1980,121,2,374746.4153,3455236.947,763,0,0,0,0,0
