plid,centerX,centerY,area,code,dry,elev,slope,aspect,twi,distCcfp,distEwfp,distEwfpO,hhid,rgid,villid,geoDist,ifCcfp,ifCcfpO
11321,377803.4851,3456350.052,1.009618,69,0,739,8.262,186.866,6.086,797.169883,3.634379,3.634379,1662,119,2,76.11280031,0,0
11322,378502.8912,3456486.623,0.696055,60,0,727,8.325,165.483,8.511,408.048984,6.034575,6.034575,1581,112,2,463.843673,0,0
11698,378962.0446,3455328.494,0.388256,60,0,743,11.57,140.314,8.319,560.443515,0,0,1454,133,2,55.76751101,0,0
11699,378904.6176,3455275.752,1.149142,61,1,735,12.494,145.333,8.168,538.224743,4.477725,4.477725,1454,133,2,73.34796587,0,0
11700,378979.1051,3455221.21,1.034178,61,1,725,12.057,150.284,8.426,496.901733,6.065517,6.065517,1454,133,2,127.8579196,0,0
11701,378957.4733,3455247.241,1.119092,61,1,729,13.104,141.391,8.137,499.342697,0.223037,0.223037,1454,133,2,114.5159154,0,0
11702,378969.1045,3455237.036,1.418754,60,0,731,12.775,153.964,7.774,549.566433,0,0,1454,133,2,79.56579929,0,0
11703,379015.5074,3455286.501,1.649173,61,1,731,12.775,153.964,7.774,523.886831,15.392149,15.392149,1454,133,2,106.540712,0,0
11704,379147.2526,3455179.235,1.16091,60,0,709,1.924,156.243,6.802,474.648885,0.69491,0.69491,1436,133,2,216.7327902,0,0
11705,378925.8168,3454843.947,1.180188,60,0,681,12.443,208.978,7.567,143.917734,0,0,1432,133,2,571.6651009,0,0
11706,378920.1205,3454824.991,1.261405,61,1,676,7.595,261.148,7.994,166.599894,13.206932,13.206932,1431,133,2,365.3596907,0,0
11707,379006.4666,3454709.236,0.42481,60,0,681,4.96,282.355,7.658,174.708807,0,0,1357,134,2,88.68075908,0,0
11708,378981.4083,3454730.627,0.856934,60,0,684,4.555,266.362,8.384,188.798379,0,0,1354,134,2,72.68761624,0,0
11709,379015.6716,3454722.523,0.894443,60,0,686,5.696,247.95,8.4,205.011476,12.604787,12.604787,1354,134,2,55.29593103,0,0
11710,379151.3255,3454724.276,0.552353,61,1,698,11.733,232.351,6.849,297.766002,3.313711,3.313711,1356,134,2,39.36594663,0,0
11711,379080.2704,3454706.626,1.103998,61,1,691,8.431,242.485,7.854,262.805567,0,0,1356,134,2,46.6700255,0,0
11712,378495.524,3454537.897,1.350878,60,0,644,6.429,109.551,0.001,257.601619,26.644059,26.644059,1383,115,2,135.3468864,0,0
11713,378386.9434,3454422.521,0.494622,60,0,661,6.757,13.013,0.001,398.788882,0.768043,0.768043,1698,113,2,3231.400125,0,0
11714,378493.0549,3454464.273,0.726297,60,0,654,6.898,13.792,0.001,335.328033,8.762634,8.762634,1383,115,2,50.4883763,0,0
11715,378523.6587,3454559.753,1.625053,60,0,649,7.546,14.196,0.001,289.63358,17.336054,17.336054,1411,115,2,419.8433113,1,1
11716,378540.0456,3454566.235,0.954989,60,0,642,4.552,105.417,0.001,257.356485,46.296809,46.296809,1396,115,2,298.0615849,0,0
11717,378509.0668,3454631.188,1.32416,60,0,642,4.469,340.88,0.001,235.082881,39.654268,39.654268,1396,115,2,313.3797815,0,0
11718,378767.9866,3454397.134,2.043895,60,0,637,7.452,76.432,0.001,224.965095,1.286888,1.286888,1379,115,2,170.9627293,0,0
11719,379305.8004,3454489.205,1.382963,60,0,671,9.765,232.211,8.839,291.761337,3.017578,3.017578,1369,134,2,146.4501041,0,0
11720,379352.3563,3454477.361,1.387794,69,0,664,8.672,236.892,0.001,340.086607,2.067881,2.067881,1368,134,2,76.60978022,0,0
11721,379292.7243,3454485.678,1.6243,60,0,663,9.537,180.529,0.001,350.16413,8.505603,8.505603,1369,134,2,60.03877382,0,0
11831,377582.2348,3455313.845,2.172492,60,0,672,3.21,96.684,6.339,309.399127,33.350208,33.350208,1833,131,2,516.8905475,0,0
11832,377553.7469,3455324.906,1.057302,61,1,668,3.987,121.321,6.982,277.096859,61.757005,61.757005,1841,131,2,584.9828293,0,0
11833,377452.7474,3455677.411,1.158054,61,1,680,8.662,121.389,5.72,528.293708,49.426588,49.426588,1770,117,2,258.0173712,0,0
11834,377438.3639,3455651.006,0.732415,61,1,674,8.739,118.943,6.38,509.721436,88.616033,88.616033,1770,117,2,292.7799974,0,0
11835,377435.2311,3455666.46,0.958378,61,1,681,7.092,131.386,5.184,547.253944,81.654397,81.654397,1766,117,2,183.042455,0,0
11836,377410.2673,3455632.16,0.605076,61,1,680,8.662,121.389,5.72,512.003351,37.283349,37.283349,1777,117,2,521.3931183,0,0
11837,377419.9566,3455568.412,0.933148,60,0,671,3.843,100.701,0.001,487.821476,94.523962,94.523962,1853,130,2,164.4781465,0,0
11838,377430.9386,3455482.801,0.36118,60,0,673,4.247,117.664,7.206,506.953109,52.521419,52.521419,1856,130,2,172.9443305,0,0
11839,377036.0441,3455644.907,0.425323,60,0,684,7.535,125,7.2,841.617202,37.943465,37.943465,1767,117,2,85.76707446,0,0
11840,377043.8664,3455539.361,0.500018,60,0,684,7.535,125,7.2,837.583559,27.06628,27.06628,1767,117,2,107.7506918,0,0
11841,377080.4251,3455601.122,0.722075,60,0,686,9.198,106.412,7.719,833.542508,22.156004,22.156004,1767,117,2,129.5703313,0,0
11842,376812.2973,3455560.468,0.302664,69,0,733,14.562,58.732,6.987,979.270482,2.268466,2.268466,1787,122,2,78.11989232,0,0
11843,376767.6771,3455649.073,0.385969,61,1,725,9.794,60.806,7.34,964.959134,6.465007,6.465007,1787,122,2,64.14888511,0,0
11844,376816.9935,3455678.959,0.50063,69,0,730,12.698,61.501,7.28,948.286994,2.921427,2.921427,1787,122,2,49.59492413,0,0
11845,376879.125,3455689.186,0.329047,69,0,701,9.601,76.872,8.101,1021.424142,2.550854,2.550854,1787,122,2,152.4924606,0,0
11846,376856.1389,3455691.135,0.600122,69,0,711,9.476,70.141,7.63,971.635926,4.912193,4.912193,1787,122,2,103.9607465,0,0
11847,376920.366,3455663.134,0.70622,69,0,706,9.612,73.593,7.883,1002.427965,1.297193,1.297193,1787,122,2,134.9342786,0,0
11848,376835.6049,3455663.948,0.758937,69,0,711,9.476,70.141,7.63,985.817544,3.734914,3.734914,1787,122,2,119.5347749,0,0
11849,376821.8109,3456151.524,1.141893,60,0,716,8.014,124.428,12.095,792.816336,30.801744,30.801744,1803,122,2,80.17174374,0,0
11850,376905.0771,3455941.808,1.163661,60,0,702,3.115,69.2,7.28,962.128225,19.462942,19.462942,1793,122,2,128.5707332,0,0
11851,376849.0446,3455876.788,0.33303,60,0,710,5.511,110.079,7.273,876.416869,2.317256,2.317256,1794,122,2,126.3541141,0,0
11852,376809.1727,3455879.026,0.432981,60,0,710,5.511,110.079,7.273,878.401581,9.713545,9.713545,1794,122,2,133.3961581,0,0
11853,376829.5581,3455810.657,0.723685,60,0,707,6.15,105.009,7.392,897.909736,19.131804,19.131804,1794,122,2,145.7895681,0,0
11854,376907.1584,3455839.852,0.502648,60,0,702,4.858,116.275,7.853,954.663683,35.80148,35.80148,1794,122,2,154.2657099,0,0
11855,376834.879,3455865.4,0.563728,60,0,707,6.15,105.009,7.392,900.603344,17.953357,17.953357,1794,122,2,132.1998817,0,0
11856,376858.8577,3455878.132,0.761285,60,0,704,5.614,106.401,7.124,939.980325,39.184176,39.184176,1794,122,2,148.7153272,0,0
11857,376905.0223,3455861.546,0.814977,60,0,704,5.614,106.401,7.124,922.707796,37.466035,37.466035,1794,122,2,140.3787338,0,0
11858,376829.7763,3455808.988,0.299533,60,0,710,5.511,110.079,7.273,875.310855,29.000027,29.000027,1794,122,2,147.5610047,0,0
11859,376867.6149,3455857.068,0.375897,60,0,706,5.987,95.907,11.626,914.773041,38.041539,38.041539,1794,122,2,159.2406841,0,0
11860,376823.8714,3455864.69,0.390453,60,0,709,5.32,92.92,11.609,892.144003,29.152473,29.152473,1794,122,2,151.5810013,0,0
11861,376959.214,3455881.796,0.7175,60,0,698,5.232,142.505,7.442,1022.344608,2.561169,2.561169,1790,122,2,198.0958346,0,0
11862,376952.1646,3455836.153,0.69578,60,0,702,4.858,116.275,7.853,960.437731,31.614405,31.614405,1794,122,2,161.6529351,0,0
11863,376900.5286,3455891.815,0.892591,69,0,700,4.719,130.181,7.409,992.736784,27.150614,27.150614,1802,122,2,364.2717985,0,0
11864,377608.7564,3455982.795,1.376051,60,0,688,5.677,188.543,8.418,576.025607,16.872075,16.872075,1670,123,2,194.1654598,0,0
11865,377564.6278,3455944.914,0.860105,60,0,684,6.262,189.175,9.279,571.673368,24.72647,24.72647,1678,123,2,309.7336138,0,0
11866,377654.067,3456116.67,0.888364,69,0,697,7.661,164.282,9.747,689.89323,13.819226,13.819226,1683,123,2,100.1684925,0,0
11867,377648.5365,3456096.922,1.156257,60,0,694,5.735,161.876,10.258,643.381912,4.493257,4.493257,1678,123,2,183.671944,0,0
11868,377805.6217,3456226.19,0.860496,69,0,712,9.705,200.058,8.015,741.270493,6.683597,6.683597,1658,119,2,145.7932869,0,0
11869,377749.8734,3456098.254,1.145791,60,0,693,6.37,192.121,10.502,655.009526,13.081108,13.081108,1664,119,2,312.7414033,0,0
11870,377777.3709,3456238.603,1.342395,69,0,714,10.357,201.923,6.887,759.032918,3.881821,3.881821,1658,119,2,116.6161737,0,0
11871,377781.2177,3456114.9,1.395656,60,0,697,8.625,193.971,7.713,668.106075,10.982288,10.982288,1654,119,2,290.8410304,0,0
11872,377708.6217,3456091.685,1.45735,69,0,691,3.375,200.141,0.001,615.714042,13.986106,13.986106,1658,119,2,242.6548913,0,0
11873,377765.4951,3456043.25,1.506063,69,0,690,1.933,177.955,6.049,532.972819,3.690939,3.690939,1665,119,2,309.0052027,0,0
11874,377734.8012,3456140.957,1.532039,60,0,702,9.758,197.675,7.134,705.318298,5.247128,5.247128,1654,119,2,254.7689365,0,0
11875,377760.9608,3456003.889,1.672183,60,0,691,1.299,222.522,6.108,533.478895,9.848424,9.848424,1665,119,2,307.5956845,0,0
11876,377694.8617,3456013.391,2.033326,60,0,690,1.586,241.089,12.743,573.311752,18.100816,18.100816,1658,119,2,286.0267128,0,0
11877,377803.8757,3456153.659,0.976764,61,1,703,7.815,207.29,8.206,646.009365,35.243974,35.243974,1651,119,2,124.7371399,0,0
11878,377906.7628,3456133.783,0.828201,61,1,709,9.589,212.315,9.192,662.442851,4.477473,4.477473,1651,119,2,97.55787648,0,0
11879,377837.1002,3456220.442,0.851708,61,1,707,9.006,200.352,7.006,675.073765,5.326872,5.326872,1655,119,2,116.2786892,0,0
11880,377830.1222,3456184.535,0.747552,60,0,706,9.232,199.813,6.218,671.029676,50.523242,50.523242,1659,119,2,262.2241135,0,0
11881,377860.5494,3456211.241,0.8915,60,0,710,9.905,197.872,6.704,692.423324,29.379768,29.379768,1659,119,2,234.6866709,0,0
11882,377791.7938,3455992.385,1.241714,60,0,694,5.217,232.214,7.912,561.413471,3.788817,3.788817,1650,119,2,60.49616377,0,0
11883,377811.0852,3456181.454,1.369106,60,0,702,8.862,206.964,6.849,639.333016,51.046407,51.046407,1658,119,2,177.4629229,0,0
11884,377859.1663,3456082.91,1.958928,60,0,694,5.217,232.214,7.912,575.140165,5.858127,5.858127,1647,119,2,266.9142279,0,0
11885,377769.5872,3456115.174,1.97001,60,0,698,7.61,221.059,8.914,606.570164,22.270636,22.270636,1660,119,2,340.3079919,0,0
11886,377895.4082,3456086.198,0.64357,60,0,701,7.237,234.173,7.415,586.72111,5.660246,5.660246,1663,119,2,322.8569132,0,0
11887,377847.1332,3456134.963,0.774628,60,0,703,7.545,233.493,8.336,594.984454,9.440084,9.440084,1663,119,2,307.9003288,0,0
11888,377894.7109,3456117.031,0.76912,60,0,710,6.508,212.782,6.373,570.781499,6.23612,6.23612,1657,119,2,156.3832445,0,0
11889,377977.8745,3456307.073,0.838752,60,0,721,4.157,163.497,8.824,720.969068,5.936865,5.936865,1648,119,2,150.9804427,0,0
11890,377986.3618,3456222.298,0.905758,60,0,719,3.7,166.716,8.178,679.764267,0,0,1648,119,2,118.1182736,0,0
